gene_id	gene_short_name	YPGR_Day1_Rep1	YPGR_Day2_Rep1	YPGR_Day3_Rep1	YPGR_Day4_Rep1	YPGR_Day5_Rep1	YPD_Day1_Rep1	YPD_Day2_Rep1	YPD_Day3_Rep1	YPD_Day4_Rep1	YPD_Day5_Rep1	YPGR_Day1_Rep2	YPGR_Day2_Rep2	YPGR_Day3_Rep2	YPGR_Day4_Rep2	YPGR_Day5_Rep2	YPD_Day1_Rep2	YPD_Day2_Rep2	YPD_Day3_Rep2	YPD_Day4_Rep2	YPD_Day5_Rep2	YPGR_Day1_Rep3	YPGR_Day2_Rep3	YPGR_Day3_Rep3	YPGR_Day4_Rep3	YPGR_Day5_Rep3	YPD_Day1_Rep3	YPD_Day2_Rep3	YPD_Day3_Rep3	YPD_Day4_Rep3	YPD_Day5_Rep3
YCR045W-A	YCR045W-A	6.596653	6.682228	2.116956	15.669963	3.152529	15.140562	14.618242	12.076543	13.264879	6.137977	15.30583	14.392258	16.324574	11.414001	15.121897	6.657538	6.948179	17.729525	13.28397	21.746471	26.622744	12.304288	8.763637	8.106238	8.340666	16.15126	16.051928	12.71909	10.865205	11.495275
YLR162W-A	YLR162W-A	4525.435547	5046.089844	5172.891602	5178.230469	5239.162109	4155.37793	4263.73291	4293.505371	4649.06543	4541.858398	4693.428223	5300.773926	4982.633789	5322.562988	5009.50293	4274.385254	4500.029785	4762.991699	4799.415527	5268.119141	4890.438965	5419.335449	5343.191406	5738.124023	5414.499512	4348.239746	4469.710449	4423.681152	4638.359863	4634.793945
YFR032C	YFR032C	221.48175	197.708405	156.88475	156.470245	134.293091	276.23584	267.061737	255.344406	259.256439	246.255081	233.471924	197.926651	139.465591	127.249329	103.879356	252.840042	270.426575	315.731781	279.126617	342.714233	203.19252	154.565262	125.959221	152.267593	193.487488	311.600769	311.347931	312.158112	289.773529	278.425385
YCR045C	YCR045C	12.227041	10.062549	3.229825	8.461443	2.172694	13.87953	15.836542	19.644142	14.916093	13.835367	16.783752	21.826101	21.720903	15.000537	13.992604	8.812482	9.771914	19.139631	12.930117	23.249977	28.208815	15.205397	17.490269	11.461848	7.320762	23.093309	21.084604	21.789928	27.07235	21.058676
YKL096W	CWP1	222.231644	187.00795	167.327194	160.270264	157.948517	173.550827	166.642899	134.348358	165.104675	121.66404	227.880875	276.893555	293.60556	292.631348	284.967346	290.531921	317.760468	363.667419	288.171234	280.90979	205.691315	171.255127	116.39505	109.333977	118.361526	206.511871	256.101868	246.473907	193.706085	186.674652
YDR133C	YDR133C	7263.878906	8640.045898	8199.999023	8453.022461	8527.368164	6474.114258	6461.981445	6063.85498	6242.530762	5986.133301	7234.148926	8064.443359	8602.243164	9182.932617	8917.81543	6650.035645	6860.995605	6673.368652	6447.534668	6373.15625	7338.866211	7521.678711	8364.427734	8426.34082	9079.550781	6681.280762	7046.09375	7146.896973	7320.27002	6560.891602
YOR313C	SPS4	418.141083	570.719604	416.365509	462.007111	465.721497	403.483154	311.546112	312.043579	306.84314	285.091309	441.513947	509.108704	489.110138	392.42865	421.936768	351.648499	470.153961	336.677612	365.197601	380.025513	385.098907	424.74585	473.272186	345.623901	335.868225	415.378448	488.316284	395.567627	465.079926	418.334045
YOR214C	YOR214C	31.651342	177.982117	12.52452	7.894474	3.15728	11.5147	16.214247	6.315082	7.926688	2.754673	41.173859	35.537399	31.455685	17.678059	19.387306	12.463465	110.259575	27.675198	18.166746	52.743809	14.593665	27.258232	40.094475	23.442949	22.671682	18.360779	17.80073	19.249813	23.388058	14.774581
YDR371C-A	YDR371C-A	0	3.987722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412553	0	0	0	0	0	0	0	0	0	0
YLR307W	CDA1	88.098167	94.339386	84.299904	85.665009	66.068222	89.246429	92.210884	57.437	64.202057	62.1427	51.507362	99.080765	97.444595	99.15667	99.351151	104.016594	119.022049	112.912201	110.686409	138.574509	78.378876	115.831459	127.750175	142.479126	129.148682	68.642708	71.610977	60.78606	45.719353	36.742653
